bidirectional_pruning ON,remove_redundant ON,generate_less ON,smart_order ON,benchmark,num_components,max_periods_per_component,avg_periods_per_component
1,1,1,1,simple_nonser,1,2,2.00
1,1,1,1,simple_nonser,1,2,2.00
1,1,1,1,simple_nonser,1,2,2.00
1,1,1,1,simple_nonser,1,2,2.00
1,1,1,1,complex_expr,1,1,1.00
1,1,1,1,equality_check,1,1,1.00
1,1,1,1,ex,1,1,1.00
1,1,1,1,boolean_ops,1,1,1.00
1,1,1,1,fred_arith_simplified_until_1,2,1,1.00
1,1,1,1,arithmetic,1,1,1.00
1,1,1,1,flag_non_ser_turned_ser,3,2,1.33
1,1,1,1,flag_non_ser,2,1,0.50
1,1,1,1,fred_arith_simplified_until_2,4,2,1.50
1,1,1,1,fred_arith,9,3,2.56
1,1,1,1,fred,9,3,2.56
0,1,1,1,flag_non_ser_turned_ser,3,2,1.33
0,1,1,1,equality_check,1,1,1.00
0,1,1,1,complex_expr,1,1,1.00
0,1,1,1,arithmetic,1,1,1.00
0,1,1,1,boolean_ops,1,1,1.00
1,1,1,1,fred2_arith,9,3,2.56
0,1,1,1,ex,1,1,1.00
1,1,1,1,fred2,9,3,2.56
0,1,1,1,flag_non_ser,2,1,0.50
1,1,1,1,globals,2,1,1.00
0,1,1,1,fred_arith_simplified_until_1,2,1,1.00
1,1,1,1,funny,3,1,1.00
1,1,1,1,fred_arith_tricky2,2,1,1.00
1,1,1,1,fred_arith_tricky,4,2,1.50
1,1,1,1,fred_arith_tricky3,3,3,2.33
1,1,1,1,if_expr,1,1,1.00
0,1,1,1,fred_arith_simplified_until_2,4,2,1.50
0,1,1,1,globals,2,1,1.00
0,1,1,1,funny,3,1,1.00
1,1,1,1,if_while,1,1,1.00
0,1,1,1,if_expr,1,1,1.00
1,1,1,1,incrdecr,4,2,1.50
0,1,1,1,fred_arith_tricky2,2,1,1.00
0,1,1,1,if_while,1,1,1.00
1,1,1,1,less_simple_ser,2,3,2.00
0,1,1,1,fred_arith_tricky3,3,3,2.33
1,1,1,1,mixed_expr,1,1,1.00
0,1,1,1,fred_arith,9,3,2.56
0,1,1,1,fred,9,3,2.56
1,1,1,1,multiple_requests,1,2,2.00
1,1,1,1,modulo_nonser,15,4,2.80
1,1,1,1,multiple_vars,1,1,1.00
0,1,1,1,mixed_expr,1,1,1.00
0,1,1,1,fred2_arith,9,3,2.56
0,1,1,1,multiple_requests,1,2,2.00
0,1,1,1,multiple_vars,1,1,1.00
0,1,1,1,less_simple_ser,4,3,2.75
0,1,1,1,fred2,9,3,2.56
0,1,1,1,fred_arith_tricky,4,2,1.50
1,1,1,1,nested_while,1,1,1.00
0,1,1,1,incrdecr,4,2,1.50
1,1,1,1,nondet,1,0,0.00
1,1,1,1,nondet_impl,3,3,2.33
0,1,1,1,modulo_nonser,22,4,2.64
0,1,1,1,nested_while,1,1,1.00
1,1,1,1,nondet_impl2,1,1,1.00
1,1,1,1,nondet2,1,1,1.00
1,1,1,1,self_loop,1,1,1.00
0,1,1,1,nondet,1,0,0.00
1,1,1,1,simple_assign,1,1,1.00
0,1,1,1,self_loop,1,1,1.00
1,1,1,1,seq_expr,1,1,1.00
0,1,1,1,nondet_impl,3,3,2.33
1,1,1,1,self_loop2,1,1,1.00
0,1,1,1,seq_expr,1,1,1.00
0,1,1,1,simple_assign,1,1,1.00
1,1,1,1,simple_nonser2_minus_yields_is_ser,1,1,1.00
1,1,1,1,simple_nonser2_turned_ser_with_locks,1,1,1.00
0,1,1,1,nondet_impl2,1,1,1.00
1,1,1,1,simple_nonser2,1,1,1.00
1,1,1,1,simple_nonser,1,2,2.00
1,1,1,1,simple_nonser3,1,1,1.00
1,1,1,1,simple_ser,1,1,1.00
0,1,1,1,simple_nonser2_turned_ser_with_locks,1,1,1.00
0,1,1,1,simple_nonser2,1,1,1.00
0,1,1,1,simple_nonser2_minus_yields_is_ser,1,1,1.00
0,1,1,1,self_loop2,1,1,1.00
1,1,1,1,BGP_routing,3,6,5.00
0,1,1,1,simple_nonser,1,2,2.00
0,1,1,1,simple_ser,1,1,1.00
1,1,1,1,stateful_firewall_without_yields,7,1,0.57
0,1,1,1,simple_nonser3,1,1,1.00
1,1,1,1,stop2,5,1,1.00
1,1,1,1,stateful_firewall,7,1,0.57
1,1,1,1,stop,3,1,1.00
1,1,1,1,stop3,2,1,1.00
1,1,1,1,stop4,3,1,1.00
1,1,1,1,stop3a,4,1,1.00
1,1,1,1,stop4a,7,1,1.00
1,1,1,1,snapshot_isolation_network_monitoring,2,3,1.50
0,1,1,1,stop,3,1,1.00
0,1,1,1,stop3,2,1,1.00
0,1,1,1,stop2,5,1,1.00
0,1,1,1,nondet2,1,1,1.00
0,1,1,1,stop4,3,1,1.00
1,1,1,1,tricky2,2,3,3.00
1,1,1,1,while_expr,1,1,1.00
1,1,1,1,with_comments,1,1,1.00
1,1,1,1,tricky3,2,3,3.00
0,1,1,1,stop3a,4,1,1.00
1,1,1,1,yield_expr,1,1,1.00
0,1,1,1,stateful_firewall_without_yields,7,1,0.57
0,1,1,1,while_expr,1,1,1.00
0,1,1,1,with_comments,1,1,1.00
0,1,1,1,stop4a,7,1,1.00
0,1,1,1,stateful_firewall,7,1,0.57
0,1,1,1,yield_expr,1,1,1.00
0,1,1,1,snapshot_isolation_network_monitoring,2,3,1.50
1,1,1,1,tricky3_ser,3,3,2.33
0,1,1,1,tricky2,2,3,3.00
0,1,1,1,BGP_routing,3,6,5.00
0,1,1,1,tricky3,2,3,3.00
0,1,1,1,tricky3_ser,3,3,2.33
